,,ТИП,ПРОДУКТ,ПРОГРАММА,"Стоимость продукта

*только для продуктов с фиксированной стоимостью",ВАЛЮТА,ПОСТАВЩИК,% DS,Свойство,Срок Контракта,Год выплаты КВ,Баллы,МЕТОДИКА РАСЧЕТА БАЛЛОВ,Комментарии,Категория
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,00%",,5,4 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,00%",,5,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"72,50%",,20,1 год,,"Сумма оплаты клиента*курс валюты/100*0,725",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"5,25%",,20,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"5,25%",,20,3 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,80%",,20,4 год,,"Сумма оплаты клиента*курс валюты/100*0,028",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"2,00%",,20,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"67,50%",,15,1 год,,"Сумма оплаты клиента*курс валюты/100*0,675",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"5,25%",,15,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Assurance SPX,SPX-X,,USD,ITA,"5,25%",,15,3 год,,"Сумма оплаты клиента*курс валюты/100*0,0525",,Страховая оболочка
